Key,English,Spanish
internal.locale,en_US,es_ES
internal.language,English,español
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&c¡El uso del comando está inválido!
COMMAND.API.USAGE,USAGE: %s,UTILIZACIÓN: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cEste comando no se puede ser usado por los jugadores.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cEste comando no se puede ser usado por la consola. 
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cEste comando no se puede ser usado por el RCON.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cEste comando no se puede ser usado por los bloques de comandos. 
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cNo tienes el permiso necesario  para este comando: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Mostrar información sobre el plugin y los autores. 
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Corriendo&6%s &cv%s&7.<br>&7Usar&6%s &7para ver todos los comandos disponibles. 
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Mostrar dirección de cartera, eth, enj y el saldo de los tokens. "
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Dirección de Cartera: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6ID de identidad: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(cant. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6No hay tokens en tu cartera. 
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6Encuentra %s tokens en tu cartera.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Mostrar una lista de comandos con su utilización.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Mostrar código de enlace o dirección vinculado.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cNo se puede mostrar tu dirección de cartera. 
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aTu cuenta está vinculada al dirección de cartera: &6s%
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cNo se puede mostrar tu código de identidad vinculado.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,"&6Para enlazar tu cuenta, sigue los pasos debajo:"
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7Descargar la aplicación de Enjin para Android o iOS
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7Navegar al sección de los Aplicaciones Enlazadas. 
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7Haga clic en el botón 'ENLAZAR APLICACIÓN'.
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,&7Seleciona la cartera que deseas enlazar. 
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7Introduzca el código de identidad mostrado debajo. 
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aEnlaze Código: &6%s
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,Envia un token de la cartera desarrollador a un jugador. 
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,&cDebes especificar una cantidad válida.
COMMAND.DEVSEND.INVALIDTOKEN,&cA valid id for the token must be specified.,&cDebes especificar un id válida para el token.
COMMAND.SEND.DESCRIPTION,Send the held token to another player.,Envia el token sujetado al otro jugador.
COMMAND.SEND.SUBMITTED,&aSend request submitted successfully. Please confirm the request in your wallet app.,&aPedido de envio ha sido enviado con éxito. Por favor confirme el pedido en tu cartera. 
COMMAND.SEND.MUSTHOLDITEM,&cYou must hold the tokenized item you wish to send.,&cDebes tener el item tokenizado que deseas enviar. 
COMMAND.SEND.ITEMNOTTOKEN,&cThe held item is not associated with a token.,&cEl item sujetado no está asociado con un token. 
COMMAND.SEND.DOESNOTHAVETOKEN,&cYou can not send a token you do not have.,&cNo puedes enviar un token que no tienes. 
COMMAND.CONF.DESCRIPTION,Perform operations on the plugin configuration.,Hacer operaciones en la configuración del plugin.
COMMAND.CONF.SET.DESCRIPTION,Set new value for config option.,Establecer nuevo valor para el opción config.
COMMAND.CONF.SET.LANG.DESCRIPTION,Set the default language to use.,Establecer el idioma para usar. 
COMMAND.CONF.SET.LANG.NOTFOUND,&cThat is not a valid language option.,&cNo es un opción de idioma válida. 
COMMAND.CONF.SET.LANG.SUCCESS,&aYou have set the server language to &6%s!,&aHas establecido el idioma del servidor a &6%s!
COMMAND.TOKEN.DESCRIPTION,Perform operations on token definitions.,Hacer operaciones en las descripciones de los tokens. 
COMMAND.TOKEN.CREATE.DESCRIPTION,Add a token definition for the held item and provided id to the config.,Añadir una definición al token para el item sujetado y para el ID proporcionado para el config. 
COMMAND.TOKEN.CREATE.SUCCESS,&aToken created.,&aToken creado.
COMMAND.TOKEN.CREATE.FAILED,&cToken was not created.,&cEl token no ha sido creado. 
COMMAND.TOKEN.CREATE.DUPLICATE,&cToken id already exists.,&cEl id del token ya existe. 
COMMAND.TOKEN.UPDATE.DESCRIPTION,Update a token's definition with the held item and the token's id.,Cambia la definición del token con el item sujetado y el id del token. 
COMMAND.TOKEN.UPDATE.SUCCESS,&aToken updated.,&aToken cambiado.
COMMAND.TOKEN.UPDATE.FAILED,&cToken was not updated.,&cEl token no ha sido cambiado.
COMMAND.TOKEN.TOINV.DESCRIPTION,Add a non-tokenized copy of the token to your inventory.,Añadir una copia del token no-tokenizado a su inventario.
COMMAND.TOKEN.TOINV.SUCCESS,&aThe item was added to your inventory.,&aEl item ha sido añadido a tu inventario.
COMMAND.TOKEN.TOINV.FAILED,&cNo space in inventory to add the item to.,&cNo ha espacio en el inventario para añadir el item. 
COMMAND.TOKEN.NICKNAME.DESCRIPTION,Add a nickname to a token for command usages.,Añadir un apodo al token para el uso de comandos. 
COMMAND.TOKEN.NICKNAME.SUCCESS,&aToken nickname added.,&aApodo del token añadido. 
COMMAND.TOKEN.NICKNAME.DUPLICATE,&cToken nickname already exists.,&cApodo del token ya existe. 
COMMAND.TOKEN.NICKNAME.HAS,&cThe token already has the nickname.,&cEl token ya tiene un apodo. 
COMMAND.TOKEN.ADDPERM.DESCRIPTION,Add a permission to a token by referencing the token's id.,Añadir un permiso al token por referiendo el id del token. 
COMMAND.TOKEN.ADDPERM.PERMADDED,&aPermission added to token.,&aPermiso añadido al token.
COMMAND.TOKEN.ADDPERM.PERMREJECTED,&cPermission is blacklisted for tokens.,&cPermiso está en la lista negra para los tokens.
COMMAND.TOKEN.ADDPERM.DUPLICATEPERM,&cPermission already on token.,&cPermiso ya está añadido al token. 
COMMAND.TOKEN.REVOKEPERM.DESCRIPTION,Remove a permission from a token by referencing the token's id.,Quitar el permiso de un token por referiendo el id del token.
COMMAND.TOKEN.REVOKEPERM.PERMREVOKED,&aPermission removed from token.,&aPermiso quitado del token. 
COMMAND.TOKEN.REVOKEPERM.PERMNOTONTOKEN,&cPermission not found on token.,&cPermiso no encontrado en el token.
COMMAND.TOKEN.NOSUCHTOKEN,&cToken not found.,&cToken no encontrado. 
COMMAND.TOKEN.NOHELDITEM,&cMust hold an item to use as a token.,&cDebe tener el item que quieres usar como un token. 
COMMAND.TRADE.DESCRIPTION,Show help for trade sub-commands.,Mostrar ayuda para sub-comandos de intercambio. 
COMMAND.TRADE.INVITE.DESCRIPTION,Invite a player to trade tokens.,Invitar a un jugador para intercambiar tokens. 
COMMAND.TRADE.ACCEPT.DESCRIPTION,Accept another player's trade invite.,Aceptar el invitación de intercambio de otro jugador. 
COMMAND.TRADE.DECLINE.DESCRIPTION,Decline another player's trade invite.,Rechazar el invitación de intercambio de otro jugador. 
COMMAND.TRADE.NOOPENINVITE,&cNo open trade invite from &6%s,&cNo hay invitaciones de intercambio de &6%s
COMMAND.TRADE.DECLINED.SENDER,&aYou have declined &6%s's &atrade invite.,&aHas rechazado &6%s's &ainvitación de intercambio. 
COMMAND.TRADE.DECLINED.TARGET,&6%s &chas declined your trade invite.,&6%s &ha rechazado tu invitación de intercambio. 
COMMAND.TRADE.ALREADYINVITED,&cYou have already invited &6%s &cto trade.,&cYa has invitado a &6%s a un intercambio.
COMMAND.TRADE.WANTSTOTRADE,&6%s &awants to trade with you.,&6%s &aquiere intercambiar contigo. 
COMMAND.TRADE.INVITESENT,&aTrade invite sent to &6%s!,&a¡Invitación de intercambio enviado a %6%s!
COMMAND.TRADE.INVITEDTOTRADE,&6%s &7has invited you to trade.,&6%s &7ha invitado a un intercambio.
COMMAND.TRADE.CONFIRM.ACTION,&6Please confirm the trade in your wallet app.,&6Por favor confirmar el intercambio en su cartera de Enjin.
COMMAND.TRADE.CONFIRM.WAIT,&6Please wait while the other player confirms the trade.,&6Por favor espera mientras el otro jugador confirma el intercambio. 
COMMAND.TRADE.COMPLETE,&6Your trade is complete!,&6¡Tu intercambio ha sido completado!
COMMAND.UNLINK.DESCRIPTION,Removes link between wallet and player account.,Quita el enlace entre la cartera y la cuenta del jugador.
COMMAND.UNLINK.SUCCESS,&aThe wallet has been unlinked from your account!,&aLa cartera ha sido desenlazado de tu cuenta. 
COMMAND.WALLET.DESCRIPTION,"Open your wallet inventory to view, check out, and return items.","Abrir el inventario de la cartera para ver, verificar y devolver items. "
HINT.LINK,&cType &6'/enj link' &cfor instructions on how to link your Enjin Wallet.,&cEscribir &6'/enj link' &cpara instruciones en como puedes enlazar tu cartera de Enjin. 
IDENTITY.NOTLOADED,&cYour player data is loading. Try again momentarily.,&cLos datos del jugador está cargando. Vuelve a intentar en un momento. 
ERRORS.EXCEPTION,&cERROR: &7%s,&cERROR: &7%s
ERRORS.CHOOSEOTHERPLAYER,&cYou must specify a player other than yourself.,&cDebes especificar un jugador que no es usted. 
ERRORS.PLAYERNOTONLINE,&6%s &cis not online.,&6%s &cno está disponible. 
MISC.NEWLINE,,
WALLET.NOTLINKED.SELF,&cYou have not linked a wallet to your identity.,&cNo has enlazado tu identidad a tu cartera. 
WALLET.NOTLINKED.OTHER,&6%s &chas not linked a wallet.,&6%s &cno ha enlazado una cartera. 
WALLET.ALLOWANCENOTSET,&cYou must confirm the approve request in your wallet before you can send or trade tokens.,&cDebes confirmar el pedido de aprobación en tu cartera antes de poder enviar o intercambiar tokens. 