Key,English,Dutch
internal.locale,en_US,nl_NL
internal.language,English,Nederlands
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cOngeldig commando!
COMMAND.API.USAGE,USAGE: %s,GEBRUIK: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cDit commando kan niet door spelers gebruikt worden.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cDit commando kan niet door de console gebruikt worden.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cDit commando kan niet extern gebruikt worden.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cDit commando kan niet door een commandoblok gebruikt worden.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cJe hebt niet de vereiste toestemming voor dit commando: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Toon informatie over de plugin en auteurs.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Uitvoeren van &6%s &cv%s&7.<br>&7Gebruik &6%s &7om beschikbare commando's te tonen.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Toon portefeuilleadres, eth, enj en token saldi."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Portefeuilleadres: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6Identiteit ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Geen tokens gevonden in portefeuille.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6%s tokens gevonden in portefeuille.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Toon lijst van commando's en hun gebruik.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Toon koppelingscode of gekoppeld adres.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cJe portefeuilleadres kan niet worden weergegeven.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aJe account is gekoppeld aan het portefeuilleadres: &6%s
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cJe identiteitkoppelingscode kan niet worden weergegeven.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,&6Volg onderstaande stappen om je account te koppelen:
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7Download de Enjin Wallet app voor Android of iOS
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7Ga naar 'Gekoppelde Apps'
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7Klik op de 'LINK APP' knop
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,&7Selecteer de portefeuille die je wilt koppelen
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7Voer onderstaande koppelingscode in
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aKoppelingscode: &6%s
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,Stuur een token van de ontwikkelaarsportefeuille naar een speler.
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,&cVoer een geldige hoeveelheid in.
COMMAND.DEVSEND.INVALIDTOKEN,&cA valid id for the token must be specified.,&cVoer een geldige token id in.
COMMAND.SEND.DESCRIPTION,Send the held token to another player.,Stuur de vastgehouden token naar een andere speler
COMMAND.SEND.SUBMITTED,&aSend request submitted successfully. Please confirm the request in your wallet app.,&aVerzendverzoek succesvol verstuurd. Bevestig a.u.b. het verzoek in je portefeuille app.
COMMAND.SEND.MUSTHOLDITEM,&cYou must hold the tokenized item you wish to send.,&cJe moet de token die je wil versturen vasthouden.
COMMAND.SEND.ITEMNOTTOKEN,&cThe held item is not associated with a token.,&cHet vastgehouden item is niet gekoppeld aan een token.
COMMAND.SEND.DOESNOTHAVETOKEN,&cYou can not send a token you do not have.,Je kunt geen token versturen die je niet bezit.
COMMAND.CONF.DESCRIPTION,Perform operations on the plugin configuration.,Bewerk de pluginconfiguratie.
COMMAND.CONF.SET.DESCRIPTION,Set new value for config option.,Stel een nieuwe waarde in voor de configuratieoptie
COMMAND.CONF.SET.LANG.DESCRIPTION,Set the default language to use.,Stel een standaard taal in.
COMMAND.CONF.SET.LANG.NOTFOUND,&cThat is not a valid language option.,&cDat is geen geldige taal optie
COMMAND.CONF.SET.LANG.SUCCESS,&aYou have set the server language to &6%s!,&aJe hebt de servertaal veranderd naar &6%s!
COMMAND.TOKEN.DESCRIPTION,Perform operations on token definitions.,Bewerk tokendefinities
COMMAND.TOKEN.CREATE.DESCRIPTION,Add a token definition for the held item and provided id to the config.,Voeg een tokendefinitie toe voor het vastgehouden object en de meegegeven id aan de configuratie
COMMAND.TOKEN.CREATE.SUCCESS,&aToken created.,&aToken gecreëerd.
COMMAND.TOKEN.CREATE.FAILED,&cToken was not created.,&cToken is niet gecreëerd.
COMMAND.TOKEN.CREATE.DUPLICATE,&cToken id already exists.,&cToken id bestaat al.
COMMAND.TOKEN.UPDATE.DESCRIPTION,Update a token's definition with the held item and the token's id.,Update de definite van een token met het vastgehouden item en de token id.
COMMAND.TOKEN.UPDATE.SUCCESS,&aToken updated.,&aToken geüpdatet
COMMAND.TOKEN.UPDATE.FAILED,&cToken was not updated.,&cToken is niet geüpdatet.
COMMAND.TOKEN.TOINV.DESCRIPTION,Add a non-tokenized copy of the token to your inventory.,Voeg een niet-getokeniseerde kopie van de token toe aan je inventaris.
COMMAND.TOKEN.TOINV.SUCCESS,&aThe item was added to your inventory.,&aHet object is aan je inventaris toegevoegd.
COMMAND.TOKEN.TOINV.FAILED,&cNo space in inventory to add the item to.,&cEr is niet genoeg ruimte in je inventaris om het object toe te voegen.
COMMAND.TOKEN.NICKNAME.DESCRIPTION,Add a nickname to a token for command usages.,Voeg een bijnaam voor een token toe voor gebruik in commando's.
COMMAND.TOKEN.NICKNAME.SUCCESS,&aToken nickname added.,&aToken bijnaam toegevoegd.
COMMAND.TOKEN.NICKNAME.DUPLICATE,&cToken nickname already exists.,&cToken bijnaam bestaat al.
COMMAND.TOKEN.NICKNAME.HAS,&cThe token already has the nickname.,&cToken heeft deze bijnaam al.
COMMAND.TOKEN.ADDPERM.DESCRIPTION,Add a permission to a token by referencing the token's id.,Voeg een recht toe aan een token d.m.v. een referentie naar de token id.
COMMAND.TOKEN.ADDPERM.PERMADDED,&aPermission added to token.,&aRecht toegevoegd aan token.
COMMAND.TOKEN.ADDPERM.PERMREJECTED,&cPermission is blacklisted for tokens.,&cRecht is op de zwarte lijst gezet voor tokens.
COMMAND.TOKEN.ADDPERM.DUPLICATEPERM,&cPermission already on token.,&cToken heeft dit recht al.
COMMAND.TOKEN.REVOKEPERM.DESCRIPTION,Remove a permission from a token by referencing the token's id.,Verwijder een recht van een token d.m.v. een referentie naar de token id.
COMMAND.TOKEN.REVOKEPERM.PERMREVOKED,&aPermission removed from token.,&aRecht verwijderd van token.
COMMAND.TOKEN.REVOKEPERM.PERMNOTONTOKEN,&cPermission not found on token.,&cRecht niet gevonden op token.
COMMAND.TOKEN.NOSUCHTOKEN,&cToken not found.,&cToken niet gevonden.
COMMAND.TOKEN.NOHELDITEM,&cMust hold an item to use as a token.,&cJe moet een object vasthouden om als token te gebruiken.
COMMAND.TRADE.DESCRIPTION,Show help for trade sub-commands.,Toon hulp voor sub-commando's voor handel.
COMMAND.TRADE.INVITE.DESCRIPTION,Invite a player to trade tokens.,Nodig een speler uit om tokens te ruilen.
COMMAND.TRADE.ACCEPT.DESCRIPTION,Accept another player's trade invite.,ruiluitnodiging van een andere speler accepteren.
COMMAND.TRADE.DECLINE.DESCRIPTION,Decline another player's trade invite.,ruiluitnodiging van een andere speler afwijzen.
COMMAND.TRADE.NOOPENINVITE,&cNo open trade invite from &6%s,&cGeen openstaande ruiluitnodiging van &6%s
COMMAND.TRADE.DECLINED.SENDER,&aYou have declined &6%s's &atrade invite.,&aJe hebt &6%s's &aruiltuitnodiging afgewezen.
COMMAND.TRADE.DECLINED.TARGET,&6%s &chas declined your trade invite.,&6%s &cheeft jouw ruiluitnodiging afgewezen.
COMMAND.TRADE.ALREADYINVITED,&cYou have already invited &6%s &cto trade.,&cJe hebt &6%s &cal uitgenodigd omte ruilen.
COMMAND.TRADE.WANTSTOTRADE,&6%s &awants to trade with you.,&6%s &awil met je ruilen.
COMMAND.TRADE.INVITESENT,&aTrade invite sent to &6%s!,&aRuiluitnodiging verstuurd naar &6%s!
COMMAND.TRADE.INVITEDTOTRADE,&6%s &7has invited you to trade.,&6%s &7heeft je een ruiluitnodiging gestuurd.
COMMAND.TRADE.CONFIRM.ACTION,&6Please confirm the trade in your wallet app.,&6Bevestig a.u.b. de ruilovereenkomst in de portefeuille app.
COMMAND.TRADE.CONFIRM.WAIT,&6Please wait while the other player confirms the trade.,&6Wacht a.u.b. totdat de andere speler de ruilovereenkomst bevestigd heeft.
COMMAND.TRADE.COMPLETE,&6Your trade is complete!,&6Je ruil is voltooid!
COMMAND.UNLINK.DESCRIPTION,Removes link between wallet and player account.,Verwijder koppeling tussen portefeuille en account.
COMMAND.UNLINK.SUCCESS,&aThe wallet has been unlinked from your account!,&aDe portefeuille is ontkoppeld van je account!
COMMAND.WALLET.DESCRIPTION,"Open your wallet inventory to view, check out, and return items.","Open je portefeuilleinventaris om je items te bekijken, eruit te halen en weer terug te plaatsen."
HINT.LINK,&cType &6'/enj link' &cfor instructions on how to link your Enjin Wallet.,&cType &6'/enj link' &cvoor instructies om je Enjin portefeuille te koppelen.
IDENTITY.NOTLOADED,&cYour player data is loading. Try again momentarily.,&cJe spelersdata is aan het laden. Probeer het over een ogenblik nog eens.
ERRORS.EXCEPTION,&cERROR: &7%s,&cFOUT: &7%s
ERRORS.CHOOSEOTHERPLAYER,&cYou must specify a player other than yourself.,&cJe moet een andere speler dan jezelf kiezen.
ERRORS.PLAYERNOTONLINE,&6%s &cis not online.,&6%s &cis niet online.
MISC.NEWLINE,,
WALLET.NOTLINKED.SELF,&cYou have not linked a wallet to your identity.,&cJe hebt geen portefeuille aan je identiteit gekoppeld.
WALLET.NOTLINKED.OTHER,&6%s &chas not linked a wallet.,&6%s &cheeft geen portefeuille gekoppeld.
WALLET.ALLOWANCENOTSET,&cYou must confirm the approve request in your wallet before you can send or trade tokens.,&cJe moet het goedkeuringsverzoek bevestigen in je portefeuille voordat je tokens kunt verhandelen of versturen.